,P1,P2,P3,P4,P5,P6,P7,P8,P9,Gesto
0,"(118, 318)","(220, 71)","(291, 40)","(351, 81)","(413, 190)","(197, 461)","(258, 331)","(306, 337)","(345, 374)",1
1,"(117, 320)","(220, 71)","(291, 40)","(350, 80)","(416, 195)","(197, 461)","(258, 330)","(306, 337)","(344, 372)",1
2,"(117, 320)","(220, 71)","(292, 40)","(350, 79)","(415, 193)","(197, 461)","(258, 331)","(306, 337)","(344, 372)",1
3,"(117, 320)","(220, 71)","(291, 39)","(351, 80)","(415, 193)","(197, 461)","(258, 331)","(306, 336)","(345, 374)",1
4,"(117, 320)","(220, 71)","(291, 39)","(352, 81)","(414, 191)","(197, 461)","(258, 330)","(306, 337)","(344, 372)",1
5,"(117, 320)","(220, 71)","(292, 39)","(349, 78)","(415, 193)","(197, 460)","(258, 331)","(306, 338)","(345, 374)",1
6,"(117, 320)","(220, 71)","(292, 39)","(350, 79)","(414, 191)","(198, 458)","(258, 331)","(306, 337)","(344, 372)",1
7,"(117, 320)","(220, 71)","(291, 40)","(350, 79)","(415, 193)","(198, 458)","(258, 331)","(306, 337)","(345, 374)",1
8,"(117, 320)","(221, 69)","(291, 39)","(351, 80)","(414, 191)","(198, 458)","(258, 331)","(306, 337)","(344, 372)",1
9,"(117, 320)","(221, 71)","(291, 40)","(350, 79)","(415, 193)","(197, 461)","(259, 330)","(306, 336)","(345, 374)",1
10,"(117, 320)","(221, 71)","(291, 40)","(350, 79)","(415, 193)","(198, 458)","(258, 331)","(306, 337)","(344, 372)",1
11,"(117, 320)","(220, 71)","(291, 39)","(351, 80)","(415, 193)","(198, 458)","(258, 330)","(306, 337)","(345, 373)",1
12,"(117, 320)","(220, 71)","(291, 40)","(351, 80)","(415, 193)","(198, 458)","(258, 331)","(306, 336)","(345, 374)",1
13,"(117, 320)","(220, 71)","(291, 39)","(350, 79)","(415, 193)","(198, 458)","(258, 330)","(306, 337)","(344, 372)",1
14,"(117, 320)","(220, 71)","(291, 39)","(350, 80)","(414, 191)","(198, 458)","(258, 331)","(306, 337)","(344, 372)",1
15,"(117, 320)","(220, 71)","(291, 40)","(350, 79)","(415, 193)","(197, 461)","(259, 330)","(306, 337)","(344, 372)",1
16,"(117, 320)","(220, 71)","(291, 40)","(350, 79)","(415, 193)","(197, 461)","(259, 330)","(306, 337)","(345, 374)",1
17,"(117, 320)","(220, 71)","(291, 40)","(350, 79)","(415, 193)","(198, 458)","(258, 330)","(306, 337)","(345, 374)",1
18,"(117, 320)","(220, 71)","(291, 39)","(351, 80)","(415, 193)","(198, 458)","(258, 330)","(306, 337)","(345, 374)",1
19,"(117, 320)","(220, 71)","(291, 40)","(350, 79)","(415, 193)","(198, 458)","(258, 331)","(306, 337)","(345, 374)",1
20,"(117, 320)","(220, 71)","(291, 39)","(352, 81)","(413, 190)","(198, 458)","(258, 331)","(306, 337)","(345, 374)",1
21,"(117, 320)","(220, 71)","(291, 40)","(351, 81)","(415, 193)","(197, 461)","(258, 331)","(306, 337)","(345, 374)",1
22,"(117, 320)","(220, 71)","(291, 40)","(351, 79)","(415, 193)","(198, 458)","(258, 330)","(306, 337)","(345, 374)",1
23,"(117, 320)","(220, 71)","(291, 39)","(349, 78)","(415, 193)","(197, 461)","(258, 331)","(306, 336)","(345, 374)",1
24,"(117, 320)","(220, 70)","(291, 40)","(350, 80)","(415, 193)","(197, 461)","(258, 330)","(306, 337)","(345, 374)",1
25,"(117, 320)","(220, 71)","(291, 40)","(351, 79)","(415, 193)","(198, 458)","(258, 331)","(306, 337)","(345, 374)",1
26,"(117, 320)","(220, 71)","(291, 40)","(351, 80)","(415, 193)","(198, 458)","(258, 330)","(306, 337)","(345, 374)",1
27,"(117, 320)","(220, 71)","(291, 40)","(352, 81)","(415, 193)","(198, 458)","(259, 330)","(306, 336)","(345, 374)",1
28,"(117, 320)","(220, 71)","(291, 39)","(349, 78)","(415, 193)","(197, 461)","(258, 330)","(306, 337)","(344, 372)",1
29,"(117, 320)","(221, 69)","(291, 39)","(351, 80)","(415, 193)","(197, 461)","(258, 331)","(306, 337)","(345, 374)",1
30,"(117, 320)","(220, 71)","(291, 39)","(352, 81)","(415, 193)","(197, 461)","(259, 330)","(306, 337)","(345, 374)",1
31,"(118, 318)","(220, 71)","(291, 40)","(351, 79)","(415, 193)","(197, 461)","(258, 330)","(306, 337)","(345, 374)",1
32,"(118, 318)","(221, 69)","(291, 39)","(351, 79)","(415, 193)","(197, 461)","(258, 330)","(306, 337)","(345, 374)",1
33,"(117, 320)","(221, 69)","(291, 39)","(351, 79)","(415, 193)","(197, 461)","(258, 330)","(306, 337)","(345, 374)",1
34,"(118, 318)","(220, 71)","(292, 39)","(351, 79)","(415, 193)","(197, 461)","(258, 330)","(306, 337)","(345, 374)",1
35,"(118, 318)","(220, 71)","(291, 39)","(352, 81)","(415, 193)","(197, 461)","(258, 330)","(306, 336)","(344, 373)",1
36,"(118, 318)","(220, 71)","(291, 39)","(351, 79)","(416, 195)","(197, 461)","(258, 330)","(306, 338)","(345, 374)",1
37,"(118, 318)","(220, 71)","(292, 39)","(350, 79)","(415, 193)","(197, 461)","(258, 330)","(306, 337)","(345, 374)",1
